name,top_song_1,top_song_2,top_song_3
2hollis,gold,cliche,afraid
A Guy Called Gerald Live,Voodoo Ray,Blow Your House Down,Voodoo Ray (Demo Version)
Absolutely,DON'T BELIEVE IT,Joy.,
Addison Rae,Fame is a Gun,Diet Pepsi,Aquamarine
Agriculture,Hallelujah,,
Ahadadream,TAKA,Bass Dhol,Big Boy Tracks
Aiko el Grupo,wormz,el aWard es para:,modo sigilo
Akazie,O Meu Amor (Rework),The Third Afterlife,
Ale Hope,,,
Alex G,Sarah,Harvey,Treehouse (feat. Emily Yacina)
Amaarae,Reckless & Sweet,Girlie-Pop!,Kiss Me Thru The Phone pt 2
Amiga Date Cuenta,,,
Anna von Hausswolff,Aging Young Women (feat. Ethel Cain),The Iconoclast,Ugly and Vengeful
Annahstasia,Be Kind,Hold You Up,Sunday
Anthony Naples,Fog FM,Lucys,Tango
Ashnikko,Halloweenie IV: Innards,Panic Attacks in Paradise,Drunk With My Friends
Aurora Halal,Liquiddity,Off the Top,Joey
Babymorocco,Everyone,Sun Sex Party,Body Organic Disco Electronic
Bad Gyal,Te Daré,Fiebre,KÁRMIKA
BAMBII,Hooked (feat. Aluna),Twitch,WICKED GYAL
Barry B,TRANKIS,Vis a Vis,Monster Truck
Baxter Dury,Lips,Other Men's Girls,Leak At the Disco
Bclip,Vltrv (Mixed),ÁNGEL - BCLIP CLUB VERSION,Gvbby (Mixed)
.bd.,,,
Beatrice M.,Ever,Ocean,Motion
Bel Cobain,Leader,Introverted Stoner,Emocean
Ben UFO,,,
berlioz,deep in it,jazz is for ordinary people,peace
Bestia Bebé,El Podio del TC,Sabés!,Cangrejal
Beverly Glenn-Copeland and Elizabeth Copeland,Old Melody,Harbour (Song For Elizabeth),Ever New
Big Thief,Velvet Ring,Vampire Empire,Simulation Swarm
BLOND:ISH,Never Walk Alone,nothin lasts 4ever,Self Love
Blood Orange,Champagne Coast,Best to You (feat. Empress Of),Charcoal Baby
Bombificadas,,,
Brat Star DJ Set,Margot Tenenbaum,Dirty Hokas,David Fincher
Brìghde Chaimbeul,O Chiadain an Lo,Dùsgadh/Waking,Skye Boat Song (Arr. Chaimbeul & Campbell for Violin & Scottish Smallpipe)
Brutalismus 3000,Romantika,Satan Was a Babyboomer,SPIRAL
Buscabulla,Tártaro,Eternamente,Métele
Call Super,No Wonder We Go Under,Waterways,Korals
Cameron Winter,Love Takes Miles,Nausicaä (Love Will Be Revealed),Take It With You
Cara Delevingne,I Feel Everything,Out of my Head,Hallmark Movie
Carl Cox,Burn Tonight,Finder (Carl Cox Remix Edit),Beat the Track
caroline,,,
Chéri,,,
Chica Acosta,Dura,Fayos,
Cobrah,Fantasy,Hush,Platinum
Corte!,,,
Dani Dicostas,homesick,Lágrimas,Si te vas
Dave P.,Magic Love,Event 654,Starting Over
deBasement,FRONT LEFT SPEAKER,Aperol Spritz,Aperol Spritz (Ibiza'd) [Instrumental]
Debit,,,
Depresión Sonora,Ya No Hay Verano,Como todo el Mundo,Fumando en mi Funeral
Dharmacide,Horses/Divorces,Lovers,If She Calls (Back Again)
Dijon,The Dress,DEVOTION,Talk Down
Disobey,,,
Dj Khalipha,Mara pass Mara Beat,Ahh 2.0,Brotherly (Street House Beat)
DJ Koolt,Let Me Clear My Throat (Old School Reunion Remix '96),Let Me Clear My Throat (Live),Put That Hump (In Your Back)
DJ Marcelle,Dub (Dub) [Mixed],Outro,I Have Been Doing Some Accounting This Afternoon
